GeneID,Exp_leaf,Exp_bud
MgIM767.11G047500,1452.01400145066,243.782767424322
MgIM767.06G138500,1404.43573291216,1591.09243677642
MgIM767.14G051000,1375.84561280477,823.594791923975
MgIM767.05G079200,1375.14834651442,807.632516488163
MgIM767.14G314600,1367.87469876041,531.194022429591
MgIM767.13G039000,1358.97260997009,177.946189347968
MgIM767.10G166100,1320.33906961597,823.995260580998
MgIM767.03G054800,1319.17451833894,374.111017990813
MgIM767.04G117800,1314.51645453467,479.459691666191
MgIM767.02G087900,1260.78529203157,3552.07906193657
MgIM767.04G196900,1214.89014601772,839.705316326248
MgIM767.10G113700,1210.98745852219,1252.93355728319
MgIM767.14G078100,1210.70786737085,206.123972690832
MgIM767.12G131100,1165.28554600444,405.234666906654
MgIM767.12G123800,1149.30743654267,235.723126089591
MgIM767.06G007600,1138.68628533008,327.790880964645
MgIM767.14G016700,1132.31003227753,414.904226148812
MgIM767.04G028900,1096.47542711365,200.037836543438
MgIM767.14G081800,1095.6017198941,105.624872692695
MgIM767.08G139200,1077.48669250238,251.725369393208
MgIM767.04G145100,1063.70208807692,60.2043781876067
MgIM767.08G160300,1062.26181676506,1720.27721293616
MgIM767.09G060900,1057.38007076522,1416.111003707
MgIM767.13G068300,1048.60485596158,225.36916017505
MgIM767.04G173200,1040.28102897921,199.186177817627
MgIM767.10G024400,1036.86677172154,114.047789715535
MgIM767.09G010600,1032.59585664289,336.878651922822
MgIM767.02G028900,1029.09141037348,91.4779861109562
MgIM767.09G041400,1022.70801840133,179.834980015838
MgIM767.08G003700,1013.35571120921,111.125828309867
MgIM767.09G074100,1002.64463616321,254.865728813207
MgIM767.11G002300,986.110562094446,129.214132647979
MgIM767.04G005900,975.042962282358,201.973571145722
MgIM767.12G159600,971.120006703466,236.836301306128
MgIM767.06G181200,965.785190635583,655.106759089304
MgIM767.14G103900,954.166574022326,138.810508299894
MgIM767.08G229200,941.350458777118,195.42926729341
MgIM767.11G124800,941.243304998868,232.450366671502
MgIM767.10G150200,933.142919840628,135.200605373525
MgIM767.03G124300,919.431884967839,1026.11494829267
MgIM767.11G065500,918.683805074181,130.169664410467
MgIM767.13G056700,918.294710682826,337.385918887572
MgIM767.12G134000,912.89072225843,207.369336138822
MgIM767.14G071500,904.964006278232,298.335659017512
MgIM767.02G007000,903.416123725889,421.446549303218
MgIM767.13G125600,901.450498004627,289.226889546508
MgIM767.13G120800,899.602292342611,31.8627588892269
MgIM767.09G017900,899.168044195749,116.432220366535
MgIM767.14G076200,885.533820669482,149.895122317527
MgIM767.06G006200,878.070599925527,242.104629016347
MgIM767.05G033400,876.183616004985,188.703787551459
MgIM767.11G075000,871.49668318334,351.516382932849
MgIM767.09G022900,858.139124239585,14.1644285374653
MgIM767.10G081100,857.244891787217,171.986082387058
MgIM767.01G106200,856.386245040489,242.215284025696
MgIM767.09G087500,849.519575698887,139.608812594201
MgIM767.05G031200,848.307955633339,133.803218299645
MgIM767.05G133800,847.286342052809,104.526487662488
MgIM767.14G125200,838.46564619723,2337.10118725489
MgIM767.14G028400,815.089568178516,56.0446033212417
MgIM767.03G066000,810.154800501075,1373.3333929057
MgIM767.03G113100,809.139309001327,102.334677378255
MgIM767.04G034300,792.751410963771,243.011276018934
MgIM767.14G110400,788.177901221805,850.43770552266
MgIM767.08G138200,786.585991525279,385.176562051752
MgIM767.07G055200,786.295858828571,125.954483499646
MgIM767.02G052900,764.101759821633,779.264141142411
MgIM767.08G220400,762.281944061688,109.813018672738
MgIM767.06G011100,757.839895897186,142.078581449617
MgIM767.04G025200,755.841937503545,190.649472298878
MgIM767.08G187400,747.17818485551,18.8210910989564
MgIM767.04G181700,743.910723483392,96.5672383771388
MgIM767.08G127800,736.386851507088,1248.47718626498
MgIM767.04G053700,735.034040069874,775.076279548312
MgIM767.13G193700,725.216118502408,277.32819823719
MgIM767.08G178200,723.918390409395,121.992508865358
MgIM767.14G302300,723.477086081583,100.938478293523
MgIM767.08G021800,721.529196022197,1786.63653859188
MgIM767.14G292600,718.098192212826,69.1727920643235
MgIM767.05G022300,705.680977853557,491.21548106115
MgIM767.14G130900,699.768895495634,1644.94223074754
MgIM767.12G169100,698.736982264711,357.127548076227
MgIM767.10G032500,693.720993706792,296.803737747708
MgIM767.11G054800,689.505170846241,1167.66123042346
MgIM767.09G014100,688.57155732545,316.609410301724
MgIM767.04G029500,685.564372248234,120.842411496295
MgIM767.11G031000,683.956539029701,163.725856310113
MgIM767.14G238100,679.816507437479,1446.46117386992
MgIM767.11G050200,672.184447480107,46.6348363377925
MgIM767.07G014900,669.892649482015,771.481739825198
MgIM767.14G090800,661.759431440029,394.887687934385
MgIM767.13G091500,653.345239038668,146.541496423645
MgIM767.14G305900,652.347510565488,923.359838444284
MgIM767.11G035100,651.272361766649,160.006149825549
MgIM767.07G077600,650.850420644727,0.345757787645972
MgIM767.04G183600,644.638274331653,85.5385983005453
MgIM767.04G081900,644.464793677971,86.0206106585681
MgIM767.14G138500,643.602259491276,204.348738544209
MgIM767.10G069100,639.972212724453,193.075170065183
MgIM767.02G179700,638.683924352649,76.4997726958981
MgIM767.14G140400,635.372260504456,120.372860865289
MgIM767.10G064800,632.103537998739,232.46271306514
